id|districts_id|name
1|1|Chiriquí Grande
2|2|Puerto Piña
3|3|Achiote
4|4|Cerro Iglesias
5|5|Chitra
6|6|Narganá
7|7|Barrios Unidos
8|6|Ailigandí
9|8|Río de Jesús
10|9|El Harino
11|10|Pinogana
12|11|Juan Díaz
13|12|Rodolfo Aguilar Delgado
14|10|Púcuro
15|11|Río Hato
16|1|Bajo Cedro
17|13|Cauchero
18|14|Bahía Azul
19|15|Guabito
20|16|San Marcelo
21|5|La Tetilla
22|2|La Palma
23|17|Ancón
24|18|Calidonia
25|5|La Raya de Calobre
26|19|Peñas Chatas
27|20|Alto Boquete
28|20|Jaramillo
29|18|Río Grande
30|21|Agua Buena
31|22|Bajo Corral
32|23|El Guásimo
33|22|El Muñoz
34|9|El Potrero
35|19|Llano Grande
36|24|Los Díaz
37|10|Metetí
38|25|Oria Arriba
39|12|Puerto Armuelles
40|80|Río Iglesias
41|26|Tortí
42|27|Cañas
43|28|Capira
44|27|El Cacao
45|27|Isla de Cañas
46|28|Villa Rosario
47|26|El Llano
48|80|Santa Fe
49|27|El Cortezo
50|27|La Tronosa
51|2|Chepigana
52|29|Krüa
53|30|Parita
54|31|Agua de Salud
55|31|Guayabito
56|32|Arenas
57|32|Quebro
58|17|Chilibre
59|33|Gatucito
60|18|La Soledad
61|9|Llano Grande
62|9|Piedras Gordas
63|34|Remance
64|35|Santa Cruz
65|36|Unión Santeña
66|80|Agua Fría
67|37|Nombre de Dios
68|31|Buenos Aires
69|15|Las Delicias
70|29|Peña Blanca
71|38|Limón
72|39|San Bartolo
73|16|Cañazas
74|40|Cordillera
75|41|Gualaca
76|34|Los Hatillos
77|42|Ponuga
78|43|Quebrada de Loro
79|44|Río Sábalo
80|45|San Pablo Viejo
81|11|Cabuya
82|82|Bledeshia
83|40|Guabal
84|46|Los Pozos
85|23|Miguel de La Borda
86|47|Tierra Oscura
87|28|El Cacao
88|16|San José
89|48|Cerro Banco
90|36|Chimán
91|7|Aguadulce
92|19|El Tijera
93|19|Los Llanos
94|49|El Coco
95|5|La Laguna
96|50|Olá
97|38|Puerto Pilón
98|27|Altos de Güera
99|18|Soná
100|49|Tulú
101|38|Cristóbal
102|38|Santa Rosa
103|26|Madungandí
104|42|Carlos Santana Ávila
105|43|Cascabel
106|43|Hato Culantro
107|49|Pajonal
108|11|San Juan de Dios
109|51|Nuevo Emperador
110|48|Cerro de Patena
111|52|Portobelo
112|53|Boca del Monte
113|54|Alanje
114|17|Alcalde Díaz
115|3|La Encantada
116|3|Salud
117|55|El Espino
118|4|Hato Chamí
119|4|Jädeberi
120|56|Justo Fidel Palacios
121|57|Los Algarrobos
122|10|Yaviza
123|13|Almirante
124|7|El Roble
125|35|Río Sereno
126|38|Buena Vista
127|58|Chepo
128|29|Sitio Prado
129|29|Nibra
130|48|Namnoni
131|29|Roka
132|58|El Toro
133|29|Chichica
134|82|Dogata
135|35|Dominical
136|41|Los Ángeles
137|39|Boró
138|35|Breñón
139|29|Alto Caballero
140|56|Potrero de Caña
141|59|El Rincón
142|43|Hato Corotú
143|48|Emplanada de Chorcha
144|31|Güibale
145|60|Piedra Roja
146|29|Cerro Puerco
147|20|Los Naranjos
148|43|Hato Jobo
149|83|Burí
150|33|Rubén Cantú
151|5|El Cocla
152|14|Río Chiriquí
153|61|La Carrillo
154|49|Río Indio
155|17|24 de Diciembre
156|28|Campana
157|18|Cativé
158|29|Bakama
159|56|Cerro Viejo
160|59|Cerro de Casa
161|62|Gómez
162|15|Las Tablas
163|62|La Concepción
164|33|El Pantano
165|24|Herrera
166|62|Aserrío de Gariché
167|62|Santo Domingo
168|78|Cerro Punta
169|62|San Andrés
170|31|Alto de Jesús
171|33|Calovébora
172|59|Las Palmas
173|16|Cerro Plata
174|28|Cermeño
175|33|El Alto
176|18|Rodeo Viejo
177|79|San José del General
178|31|Cerro Pelado
179|46|La Pitaloza
180|5|Calobre
181|58|Las Minas
182|11|El Valle
183|61|Atalaya
184|41|Hornito
185|35|Plaza Caisán
186|39|La Mesa
187|55|Los Llanitos
188|32|Tebario
189|63|Espino Amarillo
190|16|Los Valles
191|29|Cerro Caña
192|16|El Aromillo
193|42|Urracá
194|22|Bayano
195|23|Río Indio
196|18|Bahía Honda
197|46|Las Llanas
198|55|La Laguna
199|59|El Prado
200|39|Bisvalles
201|56|Lajas de Tolé
