id|corregimientos_id|name
1|1|1 de Noviembre
2|2|Aceite
3|3|Achiote
4|4|Achiote
5|5|Achiotillal
6|6|Achuduo Bipi o Isla Perro Chico
7|6|Achudup Dummad o Isla Perro Grande
8|7|Achusa
9|8|Achutupu o Isla Perro
10|9|Aclita
11|10|Aclosa o La Aclosa
12|11|Acuacua
13|12|Acuacultura Los Azules, S.A.
14|6|Acuadup
15|6|Acuatupu o Isla Piedra
16|13|Acueducto Almendro
17|14|Adios Mi Pueblo
18|15|Aeropuerto de Río Hato
19|16|África
20|17|África
21|18|Agoy
22|19|Agroganadera Caribe
23|15|Agroganadera Coclé
24|20|Agua Amarilla
25|21|Agua Azul
26|22|Agua Bendita
27|23|Agua Bendita
28|24|Agua Blanca
29|25|Agua Blanca
30|26|Agua Blanca
31|27|Agua Blanca
32|28|Agua Blanca
33|29|Agua Blanca o Pueblo Nuevo
34|30|Agua Buena
35|31|Agua Buena
36|32|Agua Buena
37|33|Agua Buena
38|34|Agua Buena
39|35|Agua Buena
40|36|Agua Buena
41|37|Agua Buena
42|38|Agua Buena
43|39|Agua Buena
44|40|Agua Buena
45|41|Agua Buena
46|42|Agua Buena
47|43|Agua Buena
48|44|Agua Buena
49|45|Agua Buena
50|46|Agua Buena
51|47|Agua Buena No.1
52|48|Agua Buena No.1
53|48|Agua Buena No.2
54|40|Agua Caliente
55|49|Agua Caliente
56|50|Agua Caliente
57|51|Agua Caliente Arriba
58|52|Agua Clara
59|40|Agua Clara
60|48|Agua Clara Abajo
61|48|Agua Clara Arriba
62|42|Agua de La Loma
63|53|Agua de Masa
64|54|Agua de Salud
65|55|Agua de Salud
66|32|Agua Fresca
67|56|Agua Fresca
68|57|Agua Fresca
69|58|Agua Fría
70|59|Agua Fría
71|60|Agua Fría
72|61|Agua Fría
73|62|Agua Fría
74|39|Agua Fría
75|63|Agua Fría
76|64|Agua Fría
77|41|Agua Fría
78|65|Agua Fría
79|41|Agua Fría No.1
80|66|Agua Fría No.1
81|66|Agua Fría No.2
82|67|Agua Muerta
83|46|Agua Rica
84|68|Agua Salud
85|69|Agua Salud o Los Pozos de Aguas Termales
86|70|Agua Salud o Ñurrunde
87|71|Agua Sucia
88|40|Agua Viva
89|72|Agua Viva
90|73|Agua Viva N°2 o Los Mangos
91|73|Agua Viva No.1
92|74|Aguacatal
93|75|Aguacatal
94|76|Aguacatal
95|77|Aguacatal
96|78|Aguacatal
97|79|Aguacatal
98|20|Aguacatal
99|80|Aguacatal
100|81|Aguacate
101|82|Aguacate
102|83|Aguacate
103|84|Aguacate
104|85|Aguacate
105|86|Aguacate
106|82|Aguacate Arriba
107|87|AGuacáte Arriba
108|82|Aguacate No.2
109|73|Aguacatillo
110|88|Aguacatillo
111|89|Aguacatillo o Aguacate
112|13|Aguacaton
113|90|Aguadilla
114|22|Aguadillita
115|91|Aguadulce
116|41|Aguas Azules
117|92|Aguas Azules
118|93|Aguas Azules
119|94|Aguas Blancas
120|10|Aguas Blancas
121|95|Aguas Blancas
122|61|Aguas Blancas
123|96|Aguas Blancas
124|97|Aguas Clara No.2 o Aguas Claras Arriba
125|98|Aguas Claras
126|71|Aguas Claras
127|48|Aguas Claras
128|99|Aguas Claras
129|100|Aguas Claras
130|101|Aguas Claras
131|102|Aguas Claras
132|103|Aguas Claras o Icantí
133|94|Aguas Frias
134|104|Aguas Limpias
135|49|Aguas Tibias
136|52|Aguila
137|105|Aguila
138|106|Aguila
139|107|Aguila Abajo
140|108|Aguila Abajo o El Palmar
141|107|Aguila Arriba
142|109|Ahoga Yegua
143|61|Ahogada de Las Yucas
144|8|Ailigandí o Manglar
145|8|Airdirgandi o Piedra de AmOlár
146|110|Ají
147|103|Akuayala o Puente Bayano
148|111|Al Otro Lado
149|112|Alambique
150|113|Alanje
151|114|Alcalde Díaz
152|58|Alcalde Díaz Rural
153|115|Alcarreto
154|41|Alcatriz
155|51|Aldea Embera
156|116|Alfagia
157|101|Alfagia
158|71|Alfagia
159|75|Algarrobal
160|61|Algarrobal
161|117|Algarrobo
162|118|Algarrobo
163|119|Algarrobo
164|116|Algarrobo o Los Algarrobos
165|120|Algarrobo o Nomogudiesi
166|121|Algarrobos Arriba
167|100|Alica
168|122|Aligandi
169|123|Almirante
170|61|Almorzadero
171|124|Altamira
172|125|Altamira
173|126|Altamira
174|71|Altamira
175|127|Alto AGuacáte
176|70|Alto Aguacate
177|128|Alto Aji
178|128|Alto Algarrobo
179|120|Alto Algarrobo
180|129|Alto Algarrobo
181|130|Alto Algarrobo o Nuevo Cascabel
182|131|Alto Alu
183|132|Alto Ambrosio
184|133|Alto Arena
185|128|Alto Arena o Llano Arena
186|119|Alto Arriera
187|52|Alto Balsa
188|131|Alto Baño
189|681|Gdogüeshia
190|89|Alto Bonito
191|135|Alto Bonito
192|136|Alto Bonito
193|27|Alto Boquete
194|24|Alto Boquete
195|137|Alto Boró
196|72|Alto Boró
197|138|Alto Brujo
198|139|Alto Caballero
199|140|Alto Caballero
200|52|Alto Cabuya
201|141|Alto Caimito
202|24|Alto Calidonia
203|142|Alto Camarón o Queberi
204|17|Alto Caña
205|143|Alto Caña
206|144|Alto Caña
207|118|Alto Caña
208|145|Alto Caña
209|146|Alto Cañazas
210|70|Alto Capacho
211|133|Alto Cedro
212|125|Alto Cerron
213|147|Alto Chiquero
214|148|Alto Chombo
215|82|Alto Chonte
216|112|Alto Chumico
217|70|Alto Ciénega
218|131|Alto Ciénega
219|70|Alto Ciénega Mono
220|149|Alto Claro
221|1|Alto Claro
222|128|Alto Cobre
223|136|Alto Coco
224|131|Alto Conejo
225|5|Alto Coral
226|150|Alto Corona
227|112|Alto Corrales
228|151|Alto Cristal
229|118|Alto Cruz
230|128|Alto Cruz
231|82|Alto Cuay
232|70|Alto Culebra
233|152|Alto de Ana Blanca
234|153|Alto de Balbuena
235|54|Alto de Batata
236|24|Alto de Bubi o Quebrada de Bubi
237|154|Alto de Buena Vista
238|155|Alto de Cabuya Ó Cabuyita
239|156|Alto de Campana
240|24|Alto de Catecito
241|157|Alto de Catecito
242|158|Alto de Cerro Viejo
243|159|Alto de Cerro Viejo
244|160|Alto de Chibrital
245|161|Alto de Chiriquí Viejo
246|87|Alto de Ciri
247|162|Alto de Dos Caños
248|163|Alto de Escarrea
249|164|Alto de Espave
250|165|Alto de Espave
251|3|Alto de Frijolito
252|166|Alto de Gariche
253|167|Alto de Gariche
254|168|Alto de Guadalupe
255|169|Alto de Jacu
256|170|Alto de Jesús
257|160|Alto de La Arena
258|171|Alto de La Boca de Concepción
259|172|Alto de La Catalina
260|32|Alto de La Chasla
261|173|Alto de La Concepción
262|174|Alto de La Cruz
263|175|Alto de La Cruz
264|172|Alto de La Cruz
265|176|Alto de La Cruz
266|72|Alto de La Cruz
267|177|Alto de La Cruz
268|178|Alto de La Cruz
269|107|Alto de La Estancia
270|108|Alto de La Estancia
271|179|Alto de La Gloria
272|15|Alto de La Gloria
273|126|Alto de La Gloria No.2
274|171|Alto de La Honda
275|180|Alto de La Juanita
276|178|Alto de La Laguna
277|181|Alto de La Laguna
278|182|Alto de La Mesa
279|178|Alto de La Mesita
280|172|Alto de La Mesitas
281|183|Alto de La Mina
282|160|Alto de La Mina
283|184|Alto de La Mina
284|185|Alto de La Mina
285|186|Alto de La Montaña
286|24|Alto de La Palma
287|72|Alto de La Pavona
288|60|Alto de La Pita
289|187|Alto de La Poma
290|172|Alto de La Yegua
291|188|Alto de La Yegua
292|34|Alto de Las Cuestas
293|178|Alto de Las Huacas
294|189|Alto de Las Margaritas
295|181|Alto de Las Margaritas
296|172|Alto de Las Mejias
297|190|Alto de Las Minas
298|5|Alto de Las Puntas
299|191|Alto de Las Trancas
300|192|Alto de Las Varas
301|24|Alto de Las Yeguas
302|183|Alto de Los Bala
303|193|Alto de Los Duendes
304|194|Alto de Los González
305|164|Alto de Los González
306|168|Alto de Los Guerras
307|195|Alto de Los Hules
308|39|Alto de Los Lagos
309|196|Alto de Los Machos
310|157|Alto de Los Machos
311|141|Alto de Los Martinez
312|57|Alto de Los Olivos
313|190|Alto de Los Pajaritos
314|197|Alto de Los Peladeros
315|137|Alto de Los Perez
316|77|Alto de Los Pericos
317|164|Alto de Los Pinedas
318|184|Alto de Los Pinos
319|198|Alto de Los Pinos
320|100|Alto de Los Reyes
321|199|Alto de Los Ruices
322|200|Alto de Los Sanchez
323|201|Alto de Macho
324|202|Alto de Mango
325|24|Alto de Mejico
326|5|Alto de Naranjal
327|202|Alto de Naranjo
328|160|Alto de Pacoral
329|54|Alto de Palo Verde
330|88|Alto de Palo Verde
331|130|Alto de Piedra
332|203|Alto de Piedra
333|160|Alto de Quebrada Conga
334|139|Alto de Quebrada Pita
335|154|Alto de Riecito
336|204|Alto de Río Antón
337|204|Alto de Río de Jesús
338|205|Alto de San Miguel
339|206|Alto de Sori
340|32|Alto de Tierra Buena
341|207|Alto de Tobalico
342|154|Alto de Uracillo
343|150|Alto de Valle Alegre
344|10|Alto de Ventorrillo
345|208|Alto de Yanguez
346|209|Alto del Alsanagua
347|77|Alto del Barria
348|176|Alto del Capacho
349|210|Alto del Castillo
350|211|Alto del Castillo
351|187|Alto del Cerro El Tigre
352|34|Alto del Chiru
353|212|Alto del Cielo
354|54|Alto del Ciruelito
355|3|Alto del Congal
356|208|Alto del Coquillo
357|192|Alto del Cristo
358|40|Alto del Cristo
359|48|Alto del Cristo
360|213|Alto del Culantro
361|214|Alto del Espino
362|9|Alto del Espino
363|38|Alto del Espino Prieto
364|10|Alto del Gallo
365|187|Alto del Gallo
366|200|Alto del Jobo
367|198|Alto del Jobo
368|62|Alto del Jobo
369|215|Alto del Joron
370|216|Alto del Lago
371|217|Alto del Lirio
372|200|Alto del Llanon
373|198|Alto del Mamey
374|176|Alto del Mango
375|660|Alto del Marañón
376|63|Alto del María
377|171|Alto del Mirador
378|154|Alto del Mora
379|219|Alto del Nance
380|57|Alto del Naranjillo
381|220|Alto del Naranjo
382|221|Alto del Naranjo
383|141|Alto del Pan
384|221|Alto del Prado
385|199|Alto del Prado
386|172|Alto del Quira o El Quira
387|222|Alto del Río
388|223|Alto del Río
389|224|Alto del Río
390|225|Alto del Rosario
391|226|Alto del Salado o El Pinto
392|227|Alto Divala o El Buho
393|213|Alto El Bale
394|228|Alto El Burro
395|229|Alto El Chiflón
396|97|Alto El Chorro o Elladrua Emberá
397|29|Alto El Cine
398|70|Alto El Comun
399|230|Alto El Cope
400|208|Alto El Guineo
401|151|Alto El Higo
402|21|Alto El Higo
403|77|Alto El Horcon
404|231|Alto El Jobo
405|181|Alto El Limón
406|176|Alto El Marco
407|132|Alto El Martìn
408|213|Alto El Mudo
409|88|Alto El Mudo
410|230|Alto El Nance
411|77|Alto El Nance
412|32|Alto El Panamá
413|175|Alto El Pito
414|176|Alto El Pito
415|207|Alto Espino
416|133|Alto Estrella
417|232|Alto Fresco
418|207|Alto Fresco o Bajo de Tobalico
419|184|Alto Frio
420|55|Alto Galera
421|130|Alto Gambu o Alto Peo o Alto Potrero
422|56|Alto García
423|119|Alto Gengibre
424|171|Alto Guabino
425|152|Alto Guayabo
426|129|Alto Guayabo
427|120|Alto Guayabo o Miyaridi
428|144|Alto Güibale
429|137|Alto Gunzal
430|689|Alto Higuerón
431|233|Alto Hilario
432|73|Alto Ibala
433|234|Alto Jacaque o Capacho
434|166|Alto Jacu
435|161|Alto Jacu
436|230|Alto Jaramillo
437|28|Alto Jaramillo
438|131|Alto Javilla
439|112|Alto Jazmin
440|134|Alto Jujuco
441|235|Alto La Arena
442|157|Alto La Esperanza
443|126|Alto La Gloria
444|233|Alto La Iguana o La Iguana
445|88|Alto La Mina
446|5|Alto La Palma
447|236|Alto La Playa
448|180|Alto La Rivera
449|237|Alto Laguna
450|52|Alto Laguna o Arco Iris o Brancebidi
451|238|Alto Las Minas o Los Higos
452|180|Alto Las Palmas
453|171|Alto Líbano
454|5|Alto Limón
455|239|Alto Limón
456|154|Alto Limón
457|240|Alto Limón
458|226|Alto Limón
459|241|Alto Limón
460|242|Alto Limón
461|147|Alto Lino
462|54|Alto Liri
463|5|Alto Lirio
464|128|Alto Llano Venado
465|243|Alto Loro
466|243|Alto Loro U Oredubiti
467|210|Alto Los Helechales
468|210|Alto Los Montenegros
469|168|Alto Los Rubios
470|244|Alto Lucira
471|245|Alto Majagua
472|146|Alto Mango
473|171|Alto Marañón
474|115|Alto Membrillar
475|116|Alto Membrillar
476|118|Alto Membrillo
477|191|Alto Meregilda
478|161|Alto Meseta
479|108|Alto Mexico
480|171|Alto Mira
481|246|Alto Molejon
482|148|Alto Mono
483|247|Alto Mono
484|70|Alto Mono
485|55|Alto Muale
486|162|Alto Nance
487|248|Alto Nance
488|241|Alto Nancito
489|171|Alto Nispero
490|4|Alto Nube
491|52|Alto Nube
492|184|Alto Nuevo de Fortuna
493|105|Alto Oro
494|240|Alto Ortiga
495|248|Alto Paila
496|249|Alto Palma
497|250|Alto Panamá
498|237|Alto Panamá
499|130|Alto Pavo o Cerro Pavo
500|138|Alto Pavon
501|228|Alto Peña
502|76|Alto Peñón
503|128|Alto Perico
504|251|Alto Piedra
505|168|Alto Pineda
506|82|Alto Piña
507|152|Alto Pita
508|252|Alto Pital
509|253|Alto Playona
510|254|Alto Quiel
511|147|Alto Quiel
512|142|Alto Rey
513|255|Alto Romero
514|687|Alto Saldaña
515|70|Alto Saldaña
516|148|Alto Salitre
517|145|Alto Senia
518|154|Alto Silencio
519|202|Alto Soloy
520|188|Alto Tebario
521|256|Alto Tisingal
522|68|Alto Tolica
523|168|Alto Tribaldo
524|70|Alto Venado o Burabadi
525|249|Alto Zapatero
526|158|Altoléta
527|155|Altos de Cerro Azul
528|58|Altos de Cerro Azul
529|126|Altos de Divisa
530|216|Altos de Espavé
531|98|Altos de Güera
532|111|Altos de La Cruz
533|216|Altos de La Gloria
534|257|Altos de La Gloria
535|72|Altos de La Palma
536|38|Altos de La Quebrada Guabo
537|38|Altos de La Quebrada Manuel
538|258|Altos de Las Nubes
539|205|Altos de Los Darieles
540|73|Altos de Los Garcias
541|259|Altos de Los González
542|260|Altos de Los Gringos
543|29|Altos de Madre Vieja
544|261|Altos de Martincito
545|262|Altos de Milla 10 o Vista Hermosa
546|58|Altos de Pacora
547|263|Altos de Pacora
548|114|Altos de Pedregal
549|264|Altos de Pedregal
550|214|Altos de San Francisco o Las Cruces
551|39|Altos de San Vicente
552|187|Altos de Tagua o Cerro Tagua
553|216|Altos de Tanara
554|263|Altos de Tatare
555|155|Altos de Utive
556|263|Altos de Utive
557|58|Altos de Utivé
558|81|Altos del Barrero
559|216|Altos del Bayano
560|38|Altos del Caimito
561|127|Altos del Cantaro
562|38|Altos del Cañaveral
563|205|Altos del Coco
564|265|Altos del Jobo
565|23|Altos del Lago
566|58|Altos del Lago
567|264|Altos del Lirio
568|266|Altos del María
569|198|Altos del María
570|47|Altos del Naranjo o Canchigua
571|47|Altos del Sol
572|149|Altos del Valle
573|187|Altos del Valle
574|58|Altos del Vigia
575|267|Amador o Lagarterita
576|41|Ambroya
577|268|Amelia Denis de Icaza
578|209|Ana María
579|269|Anachucuna
580|23|Ancón
581|96|Andariel
582|270|Angostura de Cochea Arriba
583|271|Anguatari
584|233|Angulito
585|233|Angulito Arriba
586|188|Angulón
587|272|Antón
588|99|António Bal
589|273|Anvurado
590|274|Aranda
591|275|Arañagatal
592|101|Arañagatal
593|1|Arbol de Pan
594|276|Arbolito
595|147|Arco Iris
596|160|Arena
597|52|Arena
598|277|Arena
599|278|Arena
600|5|Arenal
601|208|Arenal
602|87|Arenal
603|141|Arenal
604|274|Arenal
605|61|Arenal Grande
606|56|Arenas
607|279|Arenas Blancas
608|280|Arenas Blancas
609|279|Arenilla
610|15|Arenilla o Toro Bravo
611|66|Arenita
612|281|Arenosa
613|152|Arionda
614|22|Arizal
615|282|Arizona
616|269|Armila
617|283|Arnulfo Arias
618|266|Aromo
619|284|Arosemena
620|122|Arrabache o Arrebache
621|132|Arraiján
622|285|Arraiján
623|251|Arraiján
624|275|Arrecifal
625|40|Arreti
626|85|Arriba del Chorro
627|6|Arridup o Isla Iguana
628|106|Arriera
629|119|Arriera
630|286|Arrimadero
631|29|Arrimadero
632|6|Arritupu o Isla Iguana
633|287|Aruza
634|40|Aruza Abajo
635|40|Aruza Arriba
636|40|Aruza del Medio o Pueblo Nuevo
637|288|Asajal
638|39|Asentamiento
639|13|Asentamiento Almendro
640|60|Asentamiento El Barrero
641|216|Asentamiento Superacion Campesina
642|166|Aserrio de Gariche
643|289|Asiento Bonito
644|186|Asiento Bonito
645|290|Asiento Bonito
646|222|Asiento Viejo
647|183|Atalaya
648|291|Atalaya
649|292|Atalayita
650|293|Atalayita
651|180|Atravesado
652|107|Atre Arriba
653|107|Atre No.1
654|205|Atre Nº1
655|205|Atre Nº2
656|294|Ave María
657|210|Ave María Abajo
658|295|Bachagra
659|114|Bachiller o Parque Alegre
660|264|Bachiller o Parque Alegre
661|296|Baco
662|297|Bagala
663|298|Bagala
664|118|Bagla
665|18|Bahía Azul
666|299|Bahía de Escribano
667|300|Bahía de Loma Azul
668|94|Bahía de Río Hondo
669|301|Bahía Escondida
670|18|Bahía Grande
671|86|Bahía Grande o Big Bay
672|302|Bahía Honda
673|196|Bahía Honda
674|303|Bahía Honda
675|225|Bahía Honda
676|302|Bahía Honda Abajo
677|225|Bahía Honda Arriba
678|277|Bahía La Ballena
679|303|Bahía Roja
680|116|Bailamonos
681|64|Baitun Abajo
682|64|Baitun Arriba
683|156|Bajada de Campana
684|178|Bajada de La Cruz
685|172|Bajada de La Cruz
686|212|Bajeria
687|205|Bajito de San Miguel
688|304|Bajito Verde
689|284|Bajito Verde
690|198|Bajo AGuacáte
691|305|Bajo AGuacáte
692|70|Bajo Aguacate
693|306|Bajo Alto
694|131|Bajo Baño
695|98|Bajo Bonito
696|101|Bajo Bonito
697|87|Bajo Bonito
698|47|Bajo Bonito
699|136|Bajo Bonito
700|37|Bajo Bonito
701|111|Bajo Bonito
702|307|Bajo Bonito
703|280|Bajo Bonito
704|308|Bajo Bonito
705|71|Bajo Bonito
706|282|Bajo Bonito
707|116|Bajo Bonito
708|309|Bajo Boquete
709|52|Bajo Cabuya
710|106|Bajo Cacicón
711|141|Bajo Caimito
712|185|Bajo Caisán
713|135|Bajo Caisán
714|310|Bajo Calabazal
715|311|Bajo Canoa
716|146|Bajo Cañazas
717|70|Bajo Capacho
718|110|Bajo Casicón
719|16|Bajo Cedro
720|228|Bajo Cedro Arriba
721|191|Bajo Cerro Caña
722|312|Bajo Cerro Ñame
723|125|Bajo Cerrón
724|233|Bajo Chico
725|22|Bajo Chiquito
726|253|Bajo Chiquito
727|113|Bajo Chirigagüa o Chirigagüa
728|313|Bajo Chirigagüa o Chirigagüa
729|230|Bajo Chiriquí
730|254|Bajo Chiriquí o Bajos de Chiriquí
731|5|Bajo Chitra
732|241|Bajo Chiviré
733|112|Bajo Chorcha
734|314|Bajo Chorcha
735|147|Bajo Chorro
736|36|Bajo Cigual
737|290|Bajo Cobre
738|315|Bajo Colubre
739|255|Bajo Colubre
740|52|Bajo Congo o Ironde
741|316|Bajo Corozal
742|117|Bajo Corozal
743|31|Bajo Corral
744|67|Bajo Corral o Río Fato
745|112|Bajo Corrales
746|316|Bajo de Cerro Negro
747|105|Bajo de Cerro Pita
748|24|Bajo de Jeronimo
749|173|Bajo de La Concepción
750|81|Bajo de La Cruz
751|178|Bajo de La Mesita
752|209|Bajo de La Pita
753|317|Bajo de La Tinaja
754|224|Bajo de La Yesca
755|117|Bajo de Las Bateas
756|318|Bajo de Las Bateas
757|319|Bajo de Las Palmas o Cerrillos Abajo
758|191|Bajo de Las Trancas
759|160|Bajo de Los González
760|320|Bajo de Maraca
761|99|Bajo de Tobalico
762|250|Bajo del Cajeto
763|223|Bajo del Cajeto
764|163|Bajo del Cerro
765|72|Bajo del Cobre o Los Camaños
766|266|Bajo del Higo
767|117|Bajo del Infiernillo
768|317|Bajo del Jobo
769|198|Bajo del Jobo
770|198|Bajo del Pixbae
771|321|Bajo del Río
772|322|Bajo del Río
773|198|Bajo del Tigre
774|228|Bajo El Burro
775|33|Bajo El Guásimo
776|187|Bajo El Jobo
777|323|Bajo El Mango
778|263|Bajo El Piro
779|324|Bajo El Piro
780|73|Bajo El Poste
781|20|Bajo El Poste
782|117|Bajo El Roble
783|325|Bajo Escarrea
784|68|Bajo Espiral
785|326|Bajo Frio
786|131|Bajo Gago
787|315|Bajo Gavilán
788|327|Bajo Grande
789|168|Bajo Grande
790|279|Bajo Grande
791|328|Bajo Grande
792|233|Bajo Grande
793|152|Bajo Grande
794|240|Bajo Grande
795|242|Bajo Grande
796|108|Bajo Grande
797|299|Bajo Grande
798|329|Bajo Grande
799|330|Bajo Grande
800|331|Bajo Grande
801|209|Bajo Grande
802|332|Bajo Grande
803|314|Bajo Gualaca
804|70|Bajo Guayabal
805|112|Bajo Hato Corrales
806|128|Bajo Higueron
807|230|Bajo Hondo
808|141|Bajo Hondo
809|333|Bajo Hondo
810|334|Bajo Hondo
811|298|Bajo Hondo
812|167|Bajo Hondo
813|188|Bajo Hondo
814|316|Bajo Hondo de Culebra
815|133|Bajo Hondo o Quebrada Arena
816|138|Bajo Hornito
817|335|Bajo Jacoy
818|336|Bajo La Arena
819|206|Bajo La Esperanza
820|228|Bajo La Estrella o Nueva Estrella
821|75|Bajo La Peña
822|125|Bajo La Unión
823|52|Bajo Laguna
824|184|Bajo Largo
825|329|Bajo Las Matas
826|305|Bajo Las Ollas
827|316|Bajo Leon
828|327|Bajo Lepe
829|73|Bajo Limón
830|5|Bajo Limón
831|241|Bajo Limón
832|307|Bajo Limpio
833|147|Bajo Lino
834|160|Bajo Liri
835|106|Bajo Loro
836|52|Bajo Loro
837|229|Bajo Los Hatillos
838|320|Bajo Macho
839|241|Bajo Maíz
840|316|Bajo Marañón
841|323|Bajo Mendez
842|191|Bajo Meregilda
843|316|Bajo Meregilda
844|111|Bajo Mesa
845|52|Bajo Mira o Cerro Banco
846|148|Bajo Mono
847|52|Bajo Mono
848|131|Bajo Mono
849|128|Bajo Mono o Nomiguia
850|128|Bajo Mosquito
851|162|Bajo Nance
852|145|Bajo Noro
853|52|Bajo Nubes
854|337|Bajo Obispo
855|54|Bajo Palo Verde
856|88|Bajo Palo Verde
857|61|Bajo Perico
858|154|Bajo Pifa
859|338|Bajo Pilón
860|339|Bajo Pipon
861|52|Bajo Reyes
862|340|Bajo Rovira
863|137|Bajo San Pablo o Los Jimenez
864|129|Bajo Simet
865|120|Bajo Solis
866|222|Bajo Teta
867|198|Bajo Teta
868|256|Bajo Tisingal o Los Pinedas
869|175|Bajo Venado
870|266|Bajo Verde
871|341|Bajo Viejo
872|63|Bajo Viejo
873|320|Bajos de Cacicón
874|312|Bajos de Cacicón
875|320|Bajos de Fonseca
876|98|Bajos de Güera
877|342|Bajos de Güera
878|190|Bajos de Higui
879|229|Bajos de Higuí
880|40|Bajos de Iglesia o Bijagual Abajo
881|40|Bajos de Iglesia o Río Iglesia
882|76|Bajos de La Honda
883|343|Bajos de La Honda
884|172|Bajos de Los Cholitos
885|203|Bajos de San Juan
886|138|Bajos de Zapatero
887|187|Bajos del AGuacáte
888|176|Bajos del Cobre
889|224|Bajos del Naranjo
890|344|Bajos del Palmeño
891|222|Bajos del Río Teta
892|289|Bajos del Río Utira
893|306|Bajos Lajas
894|345|Balas Pit Rural
895|13|Balaspit
896|153|Balbuena
897|209|Balencillo N°1
898|72|Balilla
899|112|Balita
900|346|Balita
901|292|Balital
902|347|Ballestilla
903|145|Balmito Suiche
904|65|Balsa
905|72|Balsina o Zapote
906|341|Baltazar
907|168|Bambito
908|348|Bambito
909|240|Bambu
910|345|Bambù
911|205|Banacito
912|205|Banazo Arriba
913|205|Banazo Centro
914|6|Banedup Bipi
915|6|Banedup Dummad o Isla Tijereta Grande
916|349|Baraña
917|215|Barbarena
918|307|Barbudera
919|15|Barcelo Playa Blanca
920|350|Barniz
921|306|Barnizal
922|204|Barnizal
923|154|Barnizal
924|116|Barnizal
925|116|Barnizal Arriba
926|154|Barnizal N°1
927|351|Barra 44
928|77|Barracin
929|239|Barranca Mala
930|124|Barranca Pela
931|105|Barranco
932|208|Barranco
933|352|Barranco
934|130|Barranco
935|131|Barranco
936|353|Barranco
937|643|Barranco Adentro
938|211|Barranco Colorado
939|162|Barranco Medio
940|327|Barranco Pelao
941|287|Barranco Pelao
942|50|BarrAncón
943|152|BarrAncón
944|81|Barranquilla
945|266|Barranquilla
946|277|Barranquilla No.1
947|277|Barranquilla No.2
948|149|Barranquilla No.3
949|354|Barranquilla No.3
950|355|Barranquillita
951|356|Barraza No.2
952|171|Barrera
953|25|Barrerillo
954|5|Barrerito
955|191|Barrero
956|127|Barrero Amarillo
957|341|Barrero Grande
958|357|Barriada 11 de Octubre o El Guabo
959|162|Barriada 14 de Abril
960|202|Barriada 19 de Abril
961|212|Barriada 20 de Diciembre
962|285|Barriada 2000
963|202|Barriada 2000
964|285|Barriada 2000 Rural
965|351|Barriada 21 de Abril
966|155|Barriada 24 de Diciembre
967|285|Barriada 28 de Junio
968|358|Barriada 8 de Diciembre
969|261|Barriada Alto de La Cruz No.1
970|263|Barriada Arnulfo Arias Madrid
971|75|Barriada Asociación Nuestra Señora de Los Ángeles
972|358|Barriada Bello Amanecer
973|359|Barriada Bello Amanecer
974|113|Barriada Buena Vista
975|360|Barriada Bulevar
976|162|Barriada Cable 90
977|263|Barriada Caminos de Omar
978|181|Barriada Cristo Peregrino
979|94|Barriada Cuarto Centenario
980|359|Barriada Don Pinto
981|47|Barriada El Irhe
982|361|Barriada El Pozo del Obispo
983|362|Barriada El Progreso
984|359|Barriada El Triunfo
985|109|Barriada Emau Hill
986|312|Barriada Fonseca o La Palma
987|363|Barriada Genesis
988|117|Barriada Hacienda El Valle de Santa Catalina
989|364|Barriada Juan Demostenes Arosemena
990|101|Barriada Juan Demóstenes Arosemena
991|23|Barriada Kunanega
